Particle_ID,PosX_um,PosY_um,PosZ_um,MomX,MomY,MomZ,StopPosX_um,StopPosY_um,StopPosZ_um,TraLen_cell_um,TraLen_chro_um,TotalEnergyDeposited_eV
0,-0.18027811852526557,2.1032254762173475,-2.652769971238268,-0.762456945863455,0.2871910908195289,0.5798109028454547,-6.198527810811118,3.638294921700361,1.9957324087548138,7.7578642667994195,0.0,0.0
1,3.598930084217919,-1.633236183346451,0.8815797112741399,-0.05907549629976752,-0.36354214373527627,-0.9297027457554893,3.4552609233461067,-4.676111413929077,-6.2562967240056775,7.919074610073037,0.0,0.0
2,-2.811009710294112,2.4384385992905497,2.6479140957382366,0.7326763418032397,-0.24909211486880156,0.6333549529860883,2.3101234396700367,0.3984534721960141,8.100631071630536,7.794049169428465,0.0,0.0
3,2.6175788954399453,-0.0041719350301654525,3.586020149022204,0.08377813455346128,0.044655813979850245,-0.995483341120553,2.9589917513084827,0.34219186178399036,-4.370435804976771,7.862313444868226,1.8706432811692626,350.7379863863664
4,-3.417772145476712,1.138755896980782,1.9249818772709404,0.7144515680042022,0.46903636541046945,0.5191953822010298,2.157637699744161,5.555915284950417,5.087893358899702,7.943325979755193,0.0,0.0
5,0.04726297487683376,3.619120561386049,1.2806049195436713,-0.04938189505619871,-0.20134910329160666,-0.9782739734063891,-1.3724861018123922,2.2177056350720656,-6.238866180620266,7.780392637513292,0.0,0.0
6,-0.07200586407653252,-3.220196773650455,-1.469214892589063,-0.29476129736688544,0.7909839941442355,0.5361530551831472,-3.304277424361623,2.086780842353174,3.297931967807952,7.7860927282086205,4.913714529778293,2511.439917472597
7,2.8134011283993123,-1.9355473679798225,1.1119998657501295,-0.6025537072257467,0.42160593535398205,-0.677626346287394,-2.0373459978824306,1.2545751632277389,-4.270824715586465,7.821605268380172,4.993067984416106,3646.2111585760017
8,-1.9628047522789984,1.1232834623444372,-3.309277740375112,0.1640145703222257,0.9509303714234212,0.26235595938825207,-0.7025848753730825,8.568686434441767,-1.4789088678844036,7.803864507148704,0.0,0.0
9,2.7604520969930557,0.9731650687267045,1.6053168306925825,0.31609782861945496,0.06508871580422874,-0.9464912159217445,5.396087762510119,0.368483642462936,-5.915638374015213,7.928633281863178,0.0,0.0
10,-3.2762115379734005,1.1202494372314236,0.9468787669587805,0.8469436556874974,-0.41169330598783566,0.33644474419361087,3.4334427083153147,-2.1599198602550063,2.97115749137333,7.721867111539457,4.138766973752336,2667.6951309550486
11,-2.844902876483289,1.759594908434183,1.2779984762926058,-0.11417709226882583,-0.9923963269995276,-0.045968704124466436,-3.5889071349317545,-6.1281188604196135,0.3701295934972988,7.995263338159281,0.0,0.0
12,4.694644425220126,-0.039839455685718755,-1.3729436189715394,-0.6756171379919917,0.26169248646970095,0.6892448950676497,-0.8440452876643957,1.4216186529826509,3.720096901478897,7.733109339660892,2.9451383612402178,3130.149793827049
13,-3.151106716415713,3.0809176776269376,0.462124457440766,0.7380390426754099,-0.43728996959309707,0.513883113149316,2.7513901880543403,0.24767023872692295,4.178885917878488,7.600232769616194,2.043654289536206,613.786269705541
14,1.4303061791631102,-1.8781357538133194,-2.1128582576148722,-0.27921480595347997,0.5494319631709544,0.787504672990879,0.01413774515306882,2.920755401807212,3.6751027297765644,7.59328595306029,5.549717847635339,3792.8797983930717
15,-2.0770157999711647,1.5364441909948683,3.816537747567763,0.7002796077079279,0.3557020938888026,-0.6189381967786057,3.0052924812944855,4.552868768158926,-1.1414548024415279,7.696374021416901,0.0,0.0
16,-4.369395741490998,-0.5647265898028929,-0.843409799065158,0.705889450796822,0.7076100207923727,-0.03175124766019566,0.9370440058830897,4.883631232016035,-1.3100756479289766,7.708860720416597,1.8987524320433833,1687.7176482804248
17,0.6447937658119579,2.6643926640869036,-3.3550802785908567,0.6023975524028136,0.5633110292808611,0.5655067401451873,5.6491963319968335,6.901026570630035,1.1130913969731049,7.84769205598294,0.0,0.0
18,-4.073984119876075,1.2919238796952148,-1.0495914979506518,0.3138690460413001,-0.8667667683852303,0.3875585003069199,-1.8125039045867573,-4.721065309005627,2.3768824535261053,7.718316636550191,0.0,0.0
19,-3.0557246155799858,-1.6024584810309304,1.84419957511537,0.13847115915276068,-0.7939793894967252,-0.591964920529332,-2.041346461906314,-8.142397515443145,-2.5395730802450607,7.872005020363868,0.0,0.0
20,-4.351122599628313,0.4330328039306391,0.45955356027093586,0.5630719117316687,-0.5611828752208304,-0.6066496540654466,0.5124488725147494,-3.3655949856781002,-4.455486586950602,7.848429521818865,0.0,0.0
21,2.152597456102158,3.8461719297140338,-1.2936534681438283,-0.15233508612560862,-0.27263504796081883,-0.9499811325276443,0.9993134025681383,2.076854844370492,-8.975784855237084,7.8621719867897015,0.0,0.0
22,2.190617865234245,3.8658457499486727,-0.4944182708080323,-0.03438482580150172,-0.19694900080353467,-0.9798105811008013,2.983320782840458,2.044073185853308,-7.907220393335423,7.87523368675168,0.0,0.0
23,-1.4867309629907444,-3.9477023712066477,-1.008894413216938,-0.38142081282138435,0.028542393693646965,0.9239607650268011,-4.491854215666351,-3.8784376059012033,6.063677150341581,7.760810946869517,0.0,0.0
24,1.576116333616357,0.0024579445843759544,3.8610275220297643,-0.9079447286161209,-0.04353428300956163,-0.4168226673071439,-5.3823114617342975,-0.12905855674533337,0.18717404560914377,7.863205858204889,1.8938313424038486,1391.8373473921336
25,-0.6379392804809019,3.971758386066478,2.3406620889914938,0.9891714086310979,0.08639935689990234,0.11863842326182947,7.041300141614387,4.845572890751398,3.5795100162299005,7.932622538144399,0.0,0.0
26,-1.9803758727339518,-1.7828244070373669,1.4208933980934928,0.905740384086815,0.17180716384757413,0.387448906418539,4.370005720074338,-0.3734401786806642,2.8279777860094746,7.43929449512813,2.9277940066603936,2347.505011775913
27,-2.742533926141902,1.207014863965106,1.32040152101781,-0.4726900607291674,-0.4910813617315022,-0.7317125136607885,-6.913132553956566,-2.5982592608465014,-3.9608510100446486,7.7984108620798835,0.0,0.0
28,-2.459359762185713,-1.0745107955446165,2.5034524546803065,0.8963539640290424,0.3594078120029143,0.2595680948050051,4.812756830069127,1.6216372886361459,4.142372032075277,7.890291016404656,0.0,0.0
29,0.9246887152241646,-2.6035442285454633,-2.564724062099206,-0.8476324770873798,0.28544932920650135,0.44725592700630706,-5.861745493482946,-0.49840280977763146,0.8577157956254915,7.809994145034544,2.6116355511167066,1971.7718277950198
30,2.4255868905342144,2.397045424843635,-0.14890396112399565,-0.6596780794753783,0.4836097950975067,0.5752794082403994,-2.330532231368193,6.5335638645399685,4.6642895562619,7.823824830104958,0.0,0.0
31,0.8975679673799366,1.8044334177166936,-3.9355173181454184,-0.6158299510751031,-0.7331328380161063,0.28856492021949937,-3.917941443130241,-3.765652904826402,-1.8279773129387489,7.849505417305252,0.0,0.0
32,-0.41589806829372755,4.444148637917355,-0.28700757736193205,-0.44189916222843945,0.6379900626591396,-0.6306296935365402,-4.255610564573085,9.283056308058232,-4.960259159532621,7.852691899208074,0.0,0.0
33,2.7111814634950435,0.6771827538960503,-2.186309543268456,-0.9798557429932402,0.16870805639321854,0.10686587215377868,-4.765447817781812,2.213911167374007,-1.723830724727631,7.74221029273225,3.8988629105680266,4788.257259398899
34,1.1566863033772354,-3.083589147076091,-2.794681124132733,-0.24502806504548305,0.7642279952150651,0.59658764542155,-0.3176682744120576,2.726536171174547,2.19859302500787,7.739311705767301,5.786277696302324,2409.1332620395287
